report,gold_idx,out_idx,choice_p,any_p,choice_confidence,level,gold_pot,out_pot,gold_typ,out_typ,gold_quote,out_quote
table_4,5,4,0.760,0.900,0.550,different,Spanish fish sauce amphora,Spanish fish sauce amphora,Dressel 7-11,Dressel 7-11,Dressel 7-11,"Region
Iberian Peninsula
Baetican mainland
Italy
Marismas
Baetican coast
Tarraconensis
Etruria
Adriatic
Aegean
Kos (Asia"
table_4,9,9,0.720,0.850,0.710,same,Amphora,Italian/spanish wine amphora,Dressel 2-5,Dressel 2-5,Dressel 2-5,"Lindhagen 2009; Carre et al. 2014)
wine
4
Dressel 2-5
wine
7
Camulodunum 184
Pompeii 38
unknown
unknown
wine
6
wine
1
wi"
table_4,0,,,0.870,0.850,missing,Amphora,,,,globular,
table_4,2,,,0.850,0.900,missing,Amphora,,,,cylindrical,
table_4,14,,,0.920,0.930,missing,Amphora,,,,unknown,
table_4,25,,,0.430,0.820,missing,Beaker,,,,ࡼne ware beakers,
table_4,26,,,0.130,0.910,missing,Cooking pot,,,,cooking pots,
table_4,27,,,0.350,0.620,missing,Pot,,,,pot,
table_4,,12,,,,overclaim,,Amphorae,,,,"Lindhagen 2009; Carre et al. 2014)
wine
4
Dressel 2-5
wine
7
Camulodunum 184
Pompeii 38
unknown
unknown
wine
6
wine
1
wi"
table_4,,16,,,,overclaim,,Pottery,,Oberaden 48-49,,"In addition, flagons Stuart 133/Oberaden 52 (fig. 2.14), Stuart 131/
Oberaden 48-49 (fig. 2.15) and the so-called 'honey"
table_4,,21,,,,overclaim,,Pompeian red ware,,,,"Rare are the Oberaden 21 plates in Pompeian red
ware (Niemeijer 2017, 17), which were used to bake
or heat food in an ov"
table_4,,22,,,,overclaim,,Mortaria,,,,"On larger scale, sherds
of mortaria with vertical rim Haltern 59"
table_4,,24,,,,overclaim,,handmade,,,,"In
addition, several fragments of large handmade dolia
Stuart 147 with a wheelthrown rim with a black coating."
table_4,,25,,,,overclaim,,Dolia,,,,"In
addition, several fragments of large handmade dolia
Stuart 147 with a wheelthrown rim with a black coating."
table_4,,26,,,,overclaim,,Dolia,,,,"Whether these early dolia
came from the löss area between Tienen in Belgium and
Cologne in Germany (Borgers 2023, 628) w"
table_5,0,6,0.990,0.930,0.990,same,Terra nigra flask-shaped pot,Terra nigra flask-shaped pot,Holwerda 25,holwerda 25,Holwerda 25,"Mogelijk
zijn de scherven afkomstig van een
Belgische beker.
materiaal
categorie
type
MAI
aantal
totaal
Belgische waar
t"
table_5,1,7,0.990,0.940,0.980,same,Terra nigra round-oval pot,Terra nigra round-oval pot,Holwerda 27,Holwerda 27,Holwerda 27,"Mogelijk
zijn de scherven afkomstig van een
Belgische beker.
materiaal
categorie
type
MAI
aantal
totaal
Belgische waar
t"
table_5,3,9,0.990,0.920,0.980,same,Terra nigra plate,Terra nigra plate,Holwerda 81,Holwerda 81,Holwerda 81,"Mogelijk
zijn de scherven afkomstig van een
Belgische beker.
materiaal
categorie
type
MAI
aantal
totaal
Belgische waar
t"
table_5,10,0,0.900,0.890,0.890,different,Color-coated beaker,Color-coated beaker,Niederbieber 33,Niederbieber 33,Niederbieber 33,"In de kelder van het
hoofdgebouw zijn fragmenten aangetroffen
van deze late terra nigra en wel een deukbe-ker van het ty"
table_5,2,8,0.880,0.850,0.860,same,rough-walled Nijmegen pottery,Rough-walled nijmegen pottery,Holwerda 66,Holwerda 66,Holwerda 66,"Mogelijk
zijn de scherven afkomstig van een
Belgische beker.
materiaal
categorie
type
MAI
aantal
totaal
Belgische waar
t"
table_5,7,10,0.830,0.910,0.820,same,Handmade cork urn,Handmade cork urn,Holwerda 94,Holwerda 94,Holwerda 94,"Mogelijk
zijn de scherven afkomstig van een
Belgische beker.
materiaal
categorie
type
MAI
aantal
totaal
Belgische waar
t"
table_5,5,3,0.500,0.860,0.210,same,Terra nigra,Terra nigra,,,onbekend,"Dat zou kunnen
komen vanwege het feit dat terra rubra
vroeg in de 1e eeuw voorkomt en verdwijnt
rond de jaren 70. Deze v"
table_5,4,,,0.740,0.160,missing,Terra nigra pot,,,,pot,
table_5,6,,,0.890,0.300,missing,Terra nigra,,,,indet,
table_5,8,,,0.580,0.420,missing,Indeterminate,,,,indet,
table_5,9,,,0.810,0.220,missing,Beaker,,,,beker,
table_5,,1,,,,overclaim,,Terra rubra,,,,"Van terra rubra is op de Holzkuil geen enkel
fragment aangetroffen."
table_5,,2,,,,overclaim,,Terra rubra,,,,"Dat zou kunnen
komen vanwege het feit dat terra rubra
vroeg in de 1e eeuw voorkomt en verdwijnt
rond de jaren 70. Deze v"
table_5,,4,,,,overclaim,,Terra nigra,,,,"Naast de kwalitatief goede terra nigra uit de
1e eeuw en de wat mindere producten uit de
2e en begin 3e eeuw bestaat er "
table_5,,5,,,,overclaim,,Terra nigra,,,,"van deze late terra nigra en wel een deukbe-ker van het type Niederbieber 33, die door"
table_5,,11,,,,overclaim,,Terra nigra,,,,terra nigra
table_5,,12,,,,overclaim,,Beaker,,,,Belgische beker.
table_5,,13,,,,overclaim,,pot,,,,pot
table_5,,14,,,,overclaim,,onbekend,,,,onbekend
table_5,,15,,,,overclaim,,indet,,,,indet
table_5,,16,,,,overclaim,,indet,,,,indet
table_5,,17,,,,overclaim,,Beaker,,,,beker
table_5,,18,,,,overclaim,,Cork urn,,,,kurkurn die tijdens opgravingen op
table_5,,19,,,,overclaim,,Pottery,,,,"Het ontleent zijn vor-menscala aan zowel het inheemse aardewerk
als aardewerk van mediterrane origine (zoals
terra sigil"
table_5,,20,,,,overclaim,,Terra sigillata,,,,"Het ontleent zijn vor-menscala aan zowel het inheemse aardewerk
als aardewerk van mediterrane origine (zoals
terra sigil"
table_5,,21,,,,overclaim,,Terra nigra,,,,"De meest voor-komende soorten baksels zijn terra nigra
(wit/grijs baksel met een grijze/zwarte
deklaag) en terra rubra ("
table_5,,22,,,,overclaim,,Terra rubra,,,,"De meest voor-komende soorten baksels zijn terra nigra
(wit/grijs baksel met een grijze/zwarte
deklaag) en terra rubra ("
table_5,,23,,,,overclaim,,Cork urns,,,,"Daarnaast wordt de zogenaamde ‘kurkurnen’
ook tot de Belgische waar gerekend."
table_5,,24,,,,overclaim,,Terra nigra,,,,"aar in Nijmegen uit 1941 als het type 66
beschreven is.16 In de kelder zijn eveneens
nog een paar ‘flinters’ aangetroffe"
table_5,,25,,,,overclaim,,Terra nigra,,,,"De scherven waren
echter verbrand en erg verweerd waardoor
het onduidelijk blijft of het daadwerkelijk om
terra nigra ga"
table_5,,26,,,,overclaim,,Painted beakers,,,,"De scherven waren
echter verbrand en erg verweerd waardoor
het onduidelijk blijft of het daadwerkelijk om
terra nigra ga"
table_5,,27,,,,overclaim,,Terra nigra,,,,"De late terra nigra vormen dateren
vanaf de 3e eeuw tot in de 4e eeuw.17
Een aparte groep wordt gevormd door de
zogenaam"
table_5,,28,,,,overclaim,,Cork urns,,,,"De late terra nigra vormen dateren
vanaf de 3e eeuw tot in de 4e eeuw.17
Een aparte groep wordt gevormd door de
zogenaam"
table_5,,29,,,,overclaim,,Cork urns,,,,"(Holwerda 1941, type 94). De latere exempla-ren (Holwerda 1941, type 75) komen in ver-schillende baksels voor. Kurkurnen"
table_5,,30,,,,overclaim,,Cork urn,,,,"Kurkurnen dienden
waarschijnlijk als transportmiddel van ver-schillende producten, mogelijk delicatessen.18
Van een ‘ech"
table_5,,31,,,,overclaim,,Beakers,,,,"aar in Nijmegen uit 1941 als het type 66
beschreven is.16 In de kelder zijn eveneens
nog een paar ‘flinters’ aangetroffe"
ocr_1,0,0,0.980,0.770,0.970,same,Arretine ware plate,Terra sigillata plate,Conspectus 11,Haltern 1b,Pendant made of a rim fragment probably of a plate of form Consp. 11 (Haltern 1b/Service Ia),"0
2 cm
Fig. 4. Pendant made of a rim fragment probably of a plate
of form Consp. 11 (Haltern 1b/Service Ia) and dated to"
ocr_2,1,1,1.000,0.970,1.000,same,513-2/20-1-67,513-2/20-1-67,,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont.","Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont. (source: D.S. Habermehl)"
ocr_2,2,7,1.000,0.970,0.990,same,514-3/20-3-63,514-3/20-3-63,,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont.","Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont. (source: D.S. Habermehl)"
ocr_2,3,3,1.000,0.970,1.000,same,711-1/13-1-27,711-1/13-1-27,,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont.","Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont. (source: D.S. Habermehl)"
ocr_2,4,5,1.000,0.970,1.000,same,757-10/109-2-5,757-10/109-2-5,,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont.","Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont. (source: D.S. Habermehl)"
ocr_2,5,6,1.000,0.970,1.000,same,768-1/15-2-19,768-1/15-2-19,,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont.","Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont. (source: D.S. Habermehl)"
ocr_2,6,2,1.000,0.970,0.990,same,768-2/15-2-19,768-2/15-2-19,,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont.","Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont. (source: D.S. Habermehl)"
ocr_2,7,4,1.000,0.970,1.000,same,791-1/95-2-22,791-1/95-2-22,,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont.","Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont. (source: D.S. Habermehl)"
ocr_2,0,0,0.990,0.970,0.990,same,22-3-6/4056,22-3-6/4056,,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont.","Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont. (source: D.S. Habermehl)"
ocr_3,0,,,0.160,0.500,missing,Roman ware,,,,"fragmenten gevonden van Romeinse!) aardewerk, waarschynlyk uit de 2c eeuw na Christus.",
ocr_3,,0,,,,overclaim,,Plates,,,,"dit hoogst gewichtige sociale werk
sympathisceren millen, vragen om de volgende
artikelen: lakens, kussensloopen, handdo"
ocr_3,,1,,,,overclaim,,Pottery,,,,"gevonden van Romeinsch aardewerk, schijnlijk uit de 2e eeuw na Christus Een on-derzoek zal worden ingesteld door deskund"
ocr_4,0,0,0.990,0.930,0.990,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 18/31,Dragendorff 18/31,"Een terra-sigillata schaaltje in fragment type Drag 18/ 31, met de
pottenbakkersstempel: COSI. RVTIN.","Nadat er ongeveer 80 cm. grond van de bovenzijde van het betrokken
terrein waren verwijderd, werden de volgende romeinse"
ocr_4,8,14,0.990,0.820,0.990,same,Native ware,Indigenous pottery,,,Verder nog een dertigtal aardewerkfragmenten waaronder terrasigillata en inheems aardewerk.,9. Verder nog een dertigtal aardewerkfragmenten waaronder terra sigillata en inheems aardewerk.
ocr_4,6,15,0.980,0.900,0.980,same,Beaker,Beaker,,,"Een geverniste beker met schubbenversiering in fragment met een
diameter van 15 cm.",8. Een geverniste beker met schubbenversiering in fragment met een
ocr_4,7,13,0.940,0.820,0.910,same,Terra sigillata,Terra sigillata,,,Verder nog een dertigtal aardewerkfragmenten waaronder terrasigillata en inheems aardewerk.,9. Verder nog een dertigtal aardewerkfragmenten waaronder terra sigillata en inheems aardewerk.
ocr_4,2,8,0.900,0.820,0.880,same,Terra sigillata plate,Terra sigillata,Dragendorff 32,,Een terra-sigillata schaal in fragment type Drag 32.,4. Een terra sigillata schaal in fragment type Drag. 32.
ocr_4,4,11,0.880,0.850,0.870,same,Terra sigillata decorated bowl,Terra sigillata,Dragendorff 29,,"Drie versierde terra-sigillata fragmenten Drag 29 en 37, met eierlijst, planten en dieren","6. Drie versierde terra sigillata fragmenten Drag. 29 en 37, met eier-lijst, planten en dieren."
ocr_4,3,10,0.830,0.750,0.810,same,Terra sigillata mortarium,Terra sigillata,Dragendorff 45,,Een terra-sigillata kom in fragment type Drag 45.,5. Een terra sigillata kom in fragment type Drag. 45.
ocr_4,5,5,0.820,0.800,0.800,review,Terra sigillata decorated bowl,Terra sigillata,Dragendorff 37,,"Drie versierde terra-sigillata fragmenten Drag 29 en 37, met eierlijst, planten en dieren","2. Een terra sigillata schaaltje in fragment type Drag. 18/31, met de"
ocr_4,1,7,0.750,0.830,0.720,same,Terra sigillata,Terra sigillata,,,Een terra-sigillata bodemfragment waarop aan de buitenzijde ingekrast:,3. Een terra sigillata bodemfragment waarop aan de buitenzijde inge-krast:
ocr_4,,1,,,,overclaim,,Terra sigillata plate,,Dragendorff 32,,"Nadat er ongeveer 80 cm. grond van de bovenzijde van het betrokken
terrein waren verwijderd, werden de volgende romeinse"
ocr_4,,2,,,,overclaim,,Terra sigillata mortarium,,Dragendorff 45,,"Nadat er ongeveer 80 cm. grond van de bovenzijde van het betrokken
terrein waren verwijderd, werden de volgende romeinse"
ocr_4,,3,,,,overclaim,,Terra sigillata decorated bowl,,Dragendorff 29,,"Nadat er ongeveer 80 cm. grond van de bovenzijde van het betrokken
terrein waren verwijderd, werden de volgende romeinse"
ocr_4,,4,,,,overclaim,,Terra sigillata decorated bowl,,Dragendorff 37,,"Nadat er ongeveer 80 cm. grond van de bovenzijde van het betrokken
terrein waren verwijderd, werden de volgende romeinse"
ocr_4,,6,,,,overclaim,,Dish,,,,"2. Een terra sigillata schaaltje in fragment type Drag. 18/31, met de"
ocr_4,,9,,,,overclaim,,Bowl,,,,4. Een terra sigillata schaal in fragment type Drag. 32.
ocr_4,,12,,,,overclaim,,Pottery,,,,9. Verder nog een dertigtal aardewerkfragmenten waaronder terra sigillata en inheems aardewerk.
ocr_5,1,6,0.700,0.850,0.660,same,Beaker,Beakers,,,Bijzonder is de vroege datering van dit type bekers: ze werden voornamelijk tijdens het bewind van keizer Augustus gemaa,"Bij-zonder is de vroege datering van
dit type bekers: ze werden voor-namelijk tijdens het bewind van
keizer Augustus gem"
ocr_5,0,1,0.610,0.860,0.560,same,Beaker,Drinking cup,,,"Deze vroeg-Romeinse drinkbeker van aardewerk is in Coriovallum gevonden, maar gemaakt in het Franse Lyon.","Scherven brengen geluk! Deze vroeg-Romeinse drinkbeker
van aardewerk is in Coriovallum gevonden, maar gemaakt in
het Fra"
ocr_5,,0,,,,overclaim,,Aco beaker barbotine type,,ACO-beker,,"Deze zijn van
een ACO-beker en schuin tegen-over het badhuis gevonden."
ocr_5,,2,,,,overclaim,,Pottery,,,,"Scherven brengen geluk! Deze vroeg-Romeinse drinkbeker
van aardewerk is in Coriovallum gevonden, maar gemaakt in
het Fra"
ocr_5,,3,,,,overclaim,,Pottery,,,,"De productie van aardewerk in Coriovallum
kwam pas halverwege de eerste eeuw op gang."
ocr_5,,4,,,,overclaim,,Pottery,,,,"Voor die tijd
werd het meeste aardewerk van ver aan-gevoerd, zoals dus deze beker.
► Soms kunnen kleine scherfjes
heel b"
ocr_5,,5,,,,overclaim,,Beaker,,,,"Voor die tijd
werd het meeste aardewerk van ver aan-gevoerd, zoals dus deze beker.
► Soms kunnen kleine scherfjes
heel b"
ocr_5,,7,,,,overclaim,,Beakers,,,,"Bovendien gebruikten
vooral officiers in het Romeinse
leger dit type bekers."
ocr_5,,8,,,,overclaim,,Bowl,,,,"Het was rond die
schaal altijd een groezelige bedoening."
ocr_5,,9,,,,overclaim,,Pottery,,,,"Daarvoor kijken archeologen naar de
vondsten die rond het badhuis zijn gedaan, zoals munten, bepaalde vormen van aardewe"
new_rep_1,1,0,0.990,0.910,0.990,same,Gallic wine amphora,Gallic wine amphora,Gauloise 4,Gauloise 4,Een tweede herkenbaar fragment is afkomstig van een wijnamfoor Gauloise 4.,"Een tweede herkenbaar fragment is afkomstig van een wijnamfoor Gauloise
4.7 Twee rode ruwwandige fragmenten en een sterk"
new_rep_1,6,20,0.990,0.920,0.830,same,Baetican olive oil amphora,Baetican olive oil amphora,Dressel 20,Dressel 20,een oor van een olijfolieamfoor Dressel 20,In de mogelijke middenstaander zijn twee fragmenten van fijner aardewerk aangetroffen. 7 Voor determinatie amforen zie P
new_rep_1,4,9,0.980,0.910,0.950,same,Dolium,Dolium,,,In de sporen S5 en S6 die vlak bij elkaar liggen zijn respectievelijk een rand van een groot bolrond voorraadvat (dolium,"In de sporen S5 en S6 die vlak bij elkaar liggen zijn respectievelijk een rand van een groot bolrond
voorraadvat (dolium"
new_rep_1,2,5,0.930,0.810,0.920,same,Red coarse ware,Red rough-walled pottery,,,Twee rode ruwwandige fragmenten… kunnen niet nader geduid worden,"Een tweede herkenbaar fragment is afkomstig van een wijnamfoor Gauloise
4.7 Twee rode ruwwandige fragmenten en een sterk"
new_rep_1,3,6,0.930,0.780,0.920,same,White smooth-walled ware,White smooth-walled pottery,,,en een sterk verweerd wit gladwandig fragment kunnen niet nader geduid worden.,"Een tweede herkenbaar fragment is afkomstig van een wijnamfoor Gauloise
4.7 Twee rode ruwwandige fragmenten en een sterk"
new_rep_1,10,14,0.920,0.770,0.850,same,Pottery,Pottery,,,en een verploegd en niet herkenbaar fragment aardewerk.,horizontale rand uit de 2e eeuw of later en een verploegd en niet herkenbaar fragment aardewerk. Het valt op dat hier vo
new_rep_1,7,21,0.740,0.860,0.720,same,Mortarium,Mortarium,Brunsting 37,Brunsting 37,en de rand van een wrijfschaal met verticale rand die vanaf 160 is te dateren,In de mogelijke middenstaander zijn twee fragmenten van fijner aardewerk aangetroffen. 7 Voor determinatie amforen zie P
new_rep_1,0,4,0.730,0.900,0.710,same,Beaker,Painted beaker,,,een stuk van een geverfde beker bestrooid met kleikorreltjes. Deze beker heeft een wit baksel met een zwarte verflaag… H,"Beschrijving
De vermoedelijke middenstaander S3 heeft de meest diverse fragmenten opgeleverd waaronder
een stuk van een "
new_rep_1,8,12,0.530,0.880,0.450,same,Dolium,Dolium,,,"een wandfragment van een dolium versierd met gladde ribbels,","wandfragment van een dolium versierd met gladde ribbels, een rand van een wrijfschaal met"
new_rep_1,5,,,0.620,0.280,missing,Olive oil amphora,,,,In de sporen S5 en S6 die vlak bij elkaar liggen zijn respectievelijk een rand van een groot bolrond voorraadvat (dolium,
new_rep_1,9,,,0.760,0.340,missing,Mortarium,,,,een rand van een wrijfschaal met horizontale rand uit de 2e eeuw of later,
new_rep_1,,1,,,,overclaim,,Pottery,,,,"Links:zuidelijke gedeelte naar het noorden Rechts: noordelijke gedeelte naar het noorden 4.6.4 Aardewerk
W.F. Reigersman"
new_rep_1,,2,,,,overclaim,,Pottery,,,,"Het aardewerk is
goed herkenbaar en redelijk goed geconserveerd."
new_rep_1,,3,,,,overclaim,,Pottery,,,,"Het aardewerk uit de bovenlaag heeft meer te
lijden gehad door bijvoorbeeld ploegen."
new_rep_1,,7,,,,overclaim,,Beaker,,,,"Deze beker heeft een wit baksel met
een zwarte verflaag."
new_rep_1,,8,,,,overclaim,,Baetican olive oil amphora,,Dressel 20,,"Ook S8 bevatte duidelijke aardewerkfragmenten: een oor van een olijfolieamfoor Dressel 20 en de
rand van een wrijfschaal"
new_rep_1,,10,,,,overclaim,,Pottery,,,,Ook S8 bevatte duidelijke aardewerkfragmenten: een oor van een olijfolieamfoor Dressel 20 en de
new_rep_1,,11,,,,overclaim,,Grinding bowl,,,,rand van een wrijfschaal met verticale rand die vanaf 160 is te dateren (afb. 4.6.10).8
new_rep_1,,13,,,,overclaim,,Grinding bowl,,,,"wandfragment van een dolium versierd met gladde ribbels, een rand van een wrijfschaal met"
new_rep_1,,15,,,,overclaim,,amfoor,,,,"Het valt op dat hier vooral fragmenten van grote zware vormen zijn aangetroffen: vijf stukken van
voorraadvaten (amfoor "
new_rep_1,,16,,,,overclaim,,Dolium,,,,"Het valt op dat hier vooral fragmenten van grote zware vormen zijn aangetroffen: vijf stukken van
voorraadvaten (amfoor "
new_rep_1,,17,,,,overclaim,,Grinding bowl,,,,"Het valt op dat hier vooral fragmenten van grote zware vormen zijn aangetroffen: vijf stukken van
voorraadvaten (amfoor "
new_rep_1,,18,,,,overclaim,,Pottery,,,,In de mogelijke middenstaander zijn twee fragmenten van fijner aardewerk
new_rep_1,,19,,,,overclaim,,Beaker,,,,Het bekerfragment is in de 2e eeuw te dateren.
new_rep_1,,22,,,,overclaim,,amforen,,,,wrijven. In de mogelijke middenstaander zijn twee fragmenten van fijner aardewerk aangetroffen. 7 Voor determinatie amfo
new_rep_1,,23,,,,overclaim,,Grinding bowl,,,,"8 Voor de datering van de wrijfschalen: Van Vinckenroye 1991, 74."
new_rep_1,,24,,,,overclaim,,amfoor,,,,38 Afb. 4.6.10 Oor van amfoor Dressel 20 en wrijfschaal Brunsting 37 en uit S8. Interpretatie
new_rep_1,,25,,,,overclaim,,Grinding bowl,,,,38 Afb. 4.6.10 Oor van amfoor Dressel 20 en wrijfschaal Brunsting 37 en uit S8. Interpretatie
new_rep_1,,26,,,,overclaim,,Pottery,,,,"Hoewel de hoeveelheid aangetroffen aardewerk gering is, is het wel mogelijk een voorzichtige"
new_rep_1,,27,,,,overclaim,,Grinding bowl,,,,"De fragmenten van voorraadvaten en wrijfschalen wijzen op een omgeving met een opslagfunctie
of waar een ambacht werd ui"
new_rep_1,,28,,,,overclaim,,Pottery,,,,"De
aanwezigheid van wat fijner aardewerk in een paalkuil spreekt dit vermoeden niet tegen."
new_rep_2,32,36,0.980,0.870,0.980,same,Terra sigillata decorated bowl,--/27-3-17/5260,Dragendorff 37,Dragendorff 37,"--/27-3-17/5260, Drag. 37","East Gaul, AD 100-270.
--/27-3-17/5260, Drag. 37.
--/94-3-5/10503, Drag. 37.
--/1895-12.44/13070, Drag. 37.
These fragme"
new_rep_2,40,41,0.970,0.740,0.960,same,Terra sigillata plate,--/1932-11.3/13043,Dragendorff 18r,Dragendorff 18R,"--/1932-11.3/13043, Drag. 18R?","South Gaul, rst century-beginning second century AD.
[---]ND or [---]NT ?
--/1932-11.3/13043, Drag. 18R? (Fig. 22.10)."
new_rep_2,14,16,0.960,0.840,0.950,same,Terra sigillata decorated beaker,--/96-2-1/8224,Dragendorff 30,Dragendorff 30,"--/96-2-1/8224, Drag. 30","Ware with ovolo H, J, AD 120-190.
--/96-2-1/8224, Drag. 30 (Fig. 22.7)."
new_rep_2,22,25,0.960,0.840,0.950,same,Terra sigillata decorated bowl,--/15-0-0/2098,Dragendorff 37,Dragendorff 37,"--/15-0-0/2098, Drag. 37","Basal wreath of S-shaped ornaments HZ-II O113 between plain borders, rosee HZ-II O98, spiral
ornament HZ-II O116. Ident"
new_rep_2,26,29,0.950,0.790,0.950,same,Terra sigillata decorated bowl,--/18-1-2/2773,Dragendorff 37,Dragendorff 37,"--/18-1-2/2773, Drag. 37","Fölzer XVII, 21, XVIII, 4, 18, XIX, 18.
Successors Censor/Dexter, Afer, Dubitus/Dubitatus, AD 190-245.
--/18-1-2/2773, D"
new_rep_2,27,31,0.950,0.860,0.940,same,Terra sigillata decorated bowl,413-6/94-4-1/10531,Dragendorff 37,Dragendorff 37,"413-6/94-4-1/10531, Drag. 37","VII, 25.
Afer (style)?, AD 205-245.
413-6/94-4-1/10531, Drag. 37 (Fig. 22.8)."
new_rep_2,50,56,0.950,0.880,0.940,same,Terra sigillata plate,812-2/27-3-7/5184,Dragendorff 18/31,Dragendorff 18/31,"812-2/27-3-7/5184, Drag. 18/31","AD 150-170.
Unidentied
317-16/13-3-38, Drag. 31.
This stamp can possibly be read as V[---] or [---]M?
East Gaulish, AD "
new_rep_2,18,21,0.940,0.710,0.930,same,Terra sigillata decorated bowl,--/16-2-34/2381,Dragendorff 37,Dragendorff 37,"--/16-2-34/2381, Drag. 37","Raepsaet XIX, 101, Raepsaet XX, 102, 103.
Argonne, AD 120-220.
--/16-2-34/2381, Drag. 37 (Fig. 22.7)."
new_rep_2,3,3,0.930,0.870,0.920,same,Terra sigillata decorated bowl,--/95-1-19/10813,Dragendorff 37,Dragendorff 37,"--/95-1-19/10813, Drag","Scale 1:2, position of decoration (o^en schematic) in relation to vessel profile 1:3.
497
--/95-1-19/10813, Drag. 37 (Fi"
new_rep_2,16,18,0.930,0.800,0.920,same,Terra sigillata decorated bowl,413-2/94-4-3/10549,Dragendorff 37,Dragendorff 37,"413-2/94-4-3/10549, Drag. 37","Argonne, ware with ovolo C, AD 120-220.
413-2/94-4-3/10549, Drag. 37 (Fig. 22.7)."
new_rep_2,54,63,0.930,0.820,0.920,same,Terra sigillata plate,1932-11.3/13064,Dragendorff 32,Dragendorff 32,"1932-11.3/13064, Drag. 32","Sb)
East Gaul, AD 140-270.
?
1932-11.3/13064, Drag. 32 (Fig. 22.11)."
new_rep_2,28,32,0.920,0.800,0.910,same,Terra sigillata decorated bowl,--/1895-12.46/13074,Dragendorff 37,Dragendorff 37,--/1895-12.46/13074,"Afer style?, AD 205-245.
--/1895-12.46/13074, Drag. 37 (Fig. 22.8)."
new_rep_2,51,60,0.920,0.820,0.910,same,Terra sigillata plate,69-2-8/7253,Dragendorff 18/31,Dragendorff 18/31,"69-2-8/7253, Drag. 18/31","East Gaul, AD 100-270.
505
[---] I I [---] ?
69-2-8/7253, Drag. 18/31 (Fig 22.11)."
new_rep_2,7,8,0.910,0.770,0.900,same,Terra sigillata decorated bowl,--/95-1-18/10762,Dragendorff 37,Dragendorff 37,"--/95-1-18/10762, Drag","Lezoux, Avitus and Vegetus, AD 120-140.
--/95-1-18/10762, Drag. 37 (Fig. 22.6)."
new_rep_2,45,58,0.910,0.800,0.710,same,Terra sigillata cup,Terra sigillata cup,Dragendorff 27,Dragendorff 27,"--/95-2-9/10948, cup, probably Drag. 27",Gravto placed on the inside of the footring of a cup Drag. 27 with unidentied stamp.
new_rep_2,13,15,0.900,0.780,0.890,same,Terra sigillata decorated bowl,--/68-2-6/6276,Dragendorff 37,Dragendorff 37,"--/68-2-6/6276, Drag. 37","Possibly Virtus, AD 120-190.
--/68-2-6/6276, Drag. 37 (Fig. 22.7)."
new_rep_2,31,35,0.900,0.750,0.800,same,Terra sigillata decorated bowl,--/16-3-7/2427+2428,Dragendorff 37,Dragendorff 37,"--/16-3-7/2427+2428, Drag. 37","Scale 1:2/1:3.
502
{z~ In the illustrations, the stamps are shown as
initially observed by the
draughtsman; in the text"
new_rep_2,42,42,0.890,0.820,0.880,same,Terra sigillata plate,--/96-2-1/11698,Dragendorff 18/31,Dragendorff 18/31,"--/96-2-1/11698, Drag. 18/31","South Gaul, rst century-beginning second century AD.
Central Gaul
AN[NIOSF]
--/96-2-1/11698, Drag. 18/31 (Fig. 22.10)."
new_rep_2,49,55,0.890,0.710,0.870,same,Terra sigillata plate,317-16/13-3-38,Dragendorff 31,Dragendorff 31,"317-16/13-3-38, Drag. 31","AD 150-170.
Unidentied
317-16/13-3-38, Drag. 31.
This stamp can possibly be read as V[---] or [---]M?
East Gaulish, AD "
new_rep_2,15,17,0.880,0.810,0.870,same,Terra sigillata decorated bowl,--/1953-2.5/11413,Dragendorff 37,Dragendorff 37,"--/1953-2.5/11413, Drag. 37","Ware with ovolo A-D?, AD 120-190.
Argonne
--/1953-2.5/11413, Drag. 37 (Fig. 22.7)."
new_rep_2,43,43,0.870,0.730,0.850,same,Terra sigillata plate,730-2/27-5-1,Dragendorff 18/31,Dragendorff 18/31,"730-2/27-5-1, Drag. 18/31","Scale vessels 1:3, stamps 1:1.
504
TAVRI[ANI], 730-2/27-5-1, Drag. 18/31 (Fig. 22.10)."
